Year,Date,avoid_going_to_public_places,avoid_going_to_work
2020,2020-02,56,12
2020,2020-03,71.5,16.5
2020,2020-04,84.2,47
2020,2020-05,85,53
2020,2020-06,82,47
2020,2020-07,80,33
2020,2020-08,75.66666667,29
2020,2020-09,71,24.5
2020,2020-10,70,25.5
2020,2020-11,71,23.5
2020,2020-12,70,21.5
2021,2021-01,70.66666667,22
2021,2021-02,68.5,21
2021,2021-03,68,22.5
2021,2021-04,65.5,18.5
2021,2021-05,75.5,30.5
2021,2021-06,83,40.5
2021,2021-07,76.33333333,31.33333333
2021,2021-08,76,33
