date,max_temperature,min_temperature,year,month
1997-01,20.13,14.74,1997,01
1997-02,19.25,14.79,1997,02
1997-03,23.39,18.23,1997,03
1997-04,25.67,21.4,1997,04
1997-05,29.0,24.26,1997,05
1997-06,30.1,25.87,1997,06
1997-07,30.87,26.58,1997,07
1997-08,31.71,26.9,1997,08
1997-09,29.5,24.9,1997,09
1997-10,29.26,24.55,1997,10
1997-11,26.77,21.3,1997,11
1997-12,22.26,16.74,1997,12
1998-01,19.87,15.16,1998,01
1998-02,20.5,15.46,1998,02
1998-03,22.45,17.35,1998,03
1998-04,28.03,22.73,1998,04
1998-05,29.81,25.32,1998,05
1998-06,30.83,26.93,1998,06
1998-07,32.55,27.71,1998,07
1998-08,33.0,27.71,1998,08
1998-09,31.33,26.4,1998,09
1998-10,29.32,24.45,1998,10
1998-11,25.9,20.97,1998,11
1998-12,21.58,16.68,1998,12
1999-01,19.61,14.74,1999,01
1999-02,22.18,16.36,1999,02
1999-03,23.48,18.45,1999,03
1999-04,27.63,22.8,1999,04
1999-05,28.03,23.32,1999,05
1999-06,32.17,27.53,1999,06
1999-07,32.48,27.94,1999,07
1999-08,31.52,26.81,1999,08
1999-09,30.93,26.27,1999,09
1999-10,29.39,24.68,1999,10
1999-11,25.43,20.03,1999,11
1999-12,19.16,13.87,1999,12
2000-01,19.71,14.77,2000,01
2000-02,19.09,14.43,2000,02
2000-03,25.75,20.75,2000,03
2000-04,25.64,22.24,2000,04
2000-05,30.0,25.29,2000,05
2000-06,31.05,26.68,2000,06
2000-07,32.55,27.58,2000,07
2000-08,30.69,26.46,2000,08
2000-09,31.4,26.07,2000,09
2000-10,29.19,24.48,2000,10
2000-11,23.83,18.9,2000,11
2000-12,21.87,16.58,2000,12
2001-01,20.55,15.29,2001,01
2001-02,20.5,15.04,2001,02
2001-03,24.06,19.06,2001,03
2001-04,25.97,21.23,2001,04
2001-05,30.16,25.42,2001,05
2001-06,31.1,26.33,2001,06
2001-07,31.35,26.74,2001,07
2001-08,32.77,27.61,2001,08
2001-09,31.43,26.57,2001,09
2001-10,29.39,24.77,2001,10
2001-11,24.93,18.8,2001,11
2001-12,20.61,15.55,2001,12
2002-01,19.83,14.53,2002,01
2002-02,21.61,16.46,2002,02
2002-03,24.9,20.06,2002,03
2002-04,28.63,23.3,2002,04
2002-05,30.97,25.48,2002,05
2002-06,32.23,27.6,2002,06
2002-07,32.06,27.29,2002,07
2002-08,32.13,26.81,2002,08
2002-09,30.27,25.53,2002,09
2002-10,28.0,23.45,2002,10
2002-11,24.2,19.1,2002,11
2002-12,20.9,16.0,2002,12
2003-01,19.39,13.19,2003,01
2003-02,22.21,16.96,2003,02
2003-03,22.84,17.71,2003,03
2003-04,27.73,22.87,2003,04
2003-05,30.71,25.97,2003,05
2003-06,30.97,26.33,2003,06
2003-07,33.52,28.0,2003,07
2003-08,32.39,27.19,2003,08
2003-09,31.37,26.4,2003,09
2003-10,28.87,23.58,2003,10
2003-11,25.33,20.07,2003,11
2003-12,20.81,14.68,2003,12
2004-01,18.48,13.68,2004,01
2004-02,20.45,15.28,2004,02
2004-03,22.23,17.9,2004,03
2004-04,26.9,21.9,2004,04
2004-05,29.9,24.65,2004,05
2004-06,32.6,27.47,2004,06
2004-07,32.06,26.97,2004,07
2004-08,32.16,27.03,2004,08
2004-09,31.3,26.03,2004,09
2004-10,28.45,22.65,2004,10
2004-11,25.83,20.53,2004,11
2004-12,21.97,16.39,2004,12
2005-01,18.58,13.35,2005,01
2005-02,19.04,14.54,2005,02
2005-03,20.84,15.32,2005,03
2005-04,26.23,21.3,2005,04
2005-05,30.29,24.06,2005,05
2005-06,30.7,25.8,2005,06
2005-07,32.68,27.23,2005,07
2005-08,31.74,26.84,2005,08
2005-09,32.07,26.97,2005,09
2005-10,29.97,24.65,2005,10
2005-11,27.3,22.04,2005,11
2005-12,20.19,14.81,2005,12
2006-01,19.68,14.84,2006,01
2006-02,21.36,16.43,2006,02
2006-03,22.13,16.94,2006,03
2006-04,27.8,22.73,2006,04
2006-05,29.16,24.68,2006,05
2006-06,30.9,26.8,2006,06
2006-07,32.65,27.81,2006,07
2006-08,32.06,26.81,2006,08
2006-09,30.2,25.3,2006,09
2006-10,30.06,24.97,2006,10
2006-11,26.6,21.43,2006,11
2006-12,21.48,15.84,2006,12
2007-01,19.03,14.1,2007,01
2007-02,23.0,18.18,2007,02
2007-03,23.58,18.97,2007,03
2007-04,25.13,20.03,2007,04
2007-05,30.48,24.97,2007,05
2007-06,32.0,27.07,2007,06
2007-07,33.55,28.26,2007,07
